index,subjectA_Stool_0_Stool1.1260006,subjectA_Stool_1_Stool2.1259766,subjectA_Stool_2_Stool3.1260328,subjectA_Stool_3_Stool4.1260013,subjectA_Stool_4_Stool5.1259738,subjectA_Stool_5_Stool6.1260072,subjectA_Stool_6_Stool7.1260135,subjectA_Stool_7_Stool8.1259919,subjectA_Stool_7_Stool9.1260307,subjectA_Stool_8_Stool10.1260195,subjectA_Stool_9_Stool11.1259845,subjectA_Stool_10_Stool12.1259750,subjectA_Stool_11_Stool13.1259916,subjectA_Stool_12_Stool14.1259892,subjectA_Stool_13_Stool15.1260169,subjectA_Stool_14_Stool16.1260205,subjectA_Stool_15_Stool17.1259803,subjectA_Stool_16_Stool18.1260341,subjectA_Stool_17_Stool19.1259657,subjectA_Stool_18_Stool20.1260032,subjectA_Stool_19_Stool21.1259846,subjectA_Stool_20_Stool22.1260344,subjectA_Stool_21_Stool23.1259650,subjectA_Stool_22_Stool24.1260346,subjectA_Stool_23_Stool25.1259776,subjectA_Stool_24_Stool26.1259674,subjectA_Stool_25_Stool27.1259668,subjectA_Stool_26_Stool28.1260410,subjectA_Stool_27_Stool29.1260360,subjectA_Stool_28_Stool30.1260121,subjectA_Stool_29_Stool31.1260268,subjectA_Stool_30_Stool32.1260398,subjectA_Stool_32_Stool33.1259863,subjectA_Stool_33_Stool34.1260203,subjectA_Stool_34_Stool35.1260175,subjectA_Stool_35_Stool36.1259652,subjectA_Stool_36_Stool37.1260008,subjectA_Stool_37_Stool38.1259759,subjectA_Stool_38_Stool39.1259815,subjectA_Stool_39_Stool40.1260302,subjectA_Stool_40_Stool41.1260026,subjectA_Stool_41_Stool42.1260408,subjectA_Stool_42_Stool43.1260277,subjectA_Stool_43_Stool44.1259939,subjectA_Stool_44_Stool45.1259966,subjectA_Stool_44_Stool46.1259671,subjectA_Stool_45_Stool47.1260131,subjectA_Stool_46_Stool48.1260092,subjectA_Stool_47_Stool49.1259746,subjectA_Stool_49_Stool50.1260263,subjectA_Stool_50_Stool51.1259901,subjectA_Stool_51_Stool52.1259806,subjectA_Stool_52_Stool53.1259839,subjectA_Stool_53_Stool54.1260122,subjectA_Stool_54_Stool55.1259694,subjectA_Stool_55_Stool56.1259833,subjectA_Stool_56_Stool57.1259904,subjectA_Stool_57_Stool58.1260099,subjectA_Stool_58_Stool59.1260325,subjectA_Stool_59_Stool60.1259700,subjectA_Stool_60_Stool61.1259908,subjectA_Stool_61_Stool62.1259715,subjectA_Stool_63_Stool63.1259769,subjectA_Stool_64_Stool64.1259642,subjectA_Stool_65_Stool65.1260362,subjectA_Stool_66_Stool66.1260359,subjectA_Stool_67_Stool67.1260412,subjectA_Stool_68_Stool68.1260270,subjectA_Stool_69_Stool70.1260226,subjectA_Stool_70_Stool71.1259856,subjectA_Stool_72_Stool72.1259982,subjectA_Stool_73_Stool73.1260310,subjectA_Stool_74_Stool74.1260217,subjectA_Stool_74_Stool75.1259681,subjectA_Stool_75_Stool76.1259819,subjectA_Stool_76_Stool77.1259708,subjectA_Stool_77_Stool78.1260170,subjectA_Stool_78_Stool79.1259760,subjectA_Stool_79_Stool80.1259896,subjectA_Stool_79_Stool81.1260361,subjectA_Stool_80_Stool82.1260082,subjectA_Stool_81_Stool83.1259661,subjectA_Stool_82_Stool84.1260220,subjectA_Stool_82_Stool85.1260354,subjectA_Stool_84_Stool86.1260349,subjectA_Stool_84_Stool87.1260106,subjectA_Stool_84_Stool88.1260029,subjectA_Stool_85_Stool89.1259944,subjectA_Stool_87_Stool90.1260426,subjectA_Stool_88_Stool91.1259696,subjectA_Stool_89_Stool92.1259811,subjectA_Stool_90_Stool93.1259654,subjectA_Stool_91_Stool94.1260245,subjectA_Stool_96_Stool95.1260015,subjectA_Stool_97_Stool96.1260429,subjectA_Stool_98_Stool97.1260143,subjectA_Stool_99_Stool98.1259981,subjectA_Stool_100_Stool99.1259812,subjectA_Stool_101_Stool100.1260287,subjectA_Stool_102_Stool101.1259713,subjectA_Stool_103_Stool102.1260288,subjectA_Stool_105_Stool103.1259624,subjectA_Stool_106_Stool104.1260014,subjectA_Stool_106_Stool105.1260239,subjectA_Stool_107_Stool106.1259991,subjectA_Stool_108_Stool107.1259706,subjectA_Stool_112_Stool108.1260312,subjectA_Stool_113_Stool109.1259902,subjectA_Stool_114_Stool110.1260337,subjectA_Stool_115_Stool111.1260209,subjectA_Stool_116_Stool112.1259979,subjectA_Stool_117_Stool113.1260340,subjectA_Stool_118_Stool114.1259799,subjectA_Stool_119_Stool115.1260389,subjectA_Stool_120_Stool116.1260187,subjectA_Stool_120_Stool117.1259934,subjectA_Stool_122_Stool118.1259997,subjectA_Stool_123_Stool119.1260065,subjectA_Stool_124_Stool120.1259849,subjectA_Stool_125_Stool121.1260058,subjectA_Stool_126_Stool122.1259857,subjectA_Stool_127_Stool123.1260285,subjectA_Stool_128_Stool124.1260211,subjectA_Stool_129_Stool125.1260188,subjectA_Stool_134_Stool126.1260383,subjectA_Stool_135_Stool127.1259957,subjectA_Stool_136_Stool128.1260108,subjectA_Stool_138_Stool129.1260009,subjectA_Stool_139_Stool130.1259737,subjectA_Stool_140_Stool131.1260315,subjectA_Stool_141_Stool132.1259876,subjectA_Stool_142_Stool133.1259945,subjectA_Stool_143_Stool134.1259722,subjectA_Stool_144_Stool135.1259870,subjectA_Stool_146_Stool136.1260242,subjectA_Stool_147_Stool137.1260414,subjectA_Stool_148_Stool138.1260296,subjectA_Stool_149_Stool139.1260306,subjectA_Stool_150_Stool140.1259871,subjectA_Stool_151_Stool141.1259753,subjectA_Stool_152_Stool142.1260273,subjectA_Stool_153_Stool143.1259636,subjectA_Stool_154_Stool144.1260021,subjectA_Stool_155_Stool145.1260045,subjectA_Stool_156_Stool146.1259691,subjectA_Stool_157_Stool147.1260039,subjectA_Stool_158_Stool148.1260371,subjectA_Stool_159_Stool149.1260262,subjectA_Stool_160_Stool150.1259855,subjectA_Stool_161_Stool151.1259986,subjectA_Stool_162_Stool152.1260066,subjectA_Stool_162_Stool153.1259877,subjectA_Stool_163_Stool154.1260322,subjectA_Stool_164_Stool155.1260071,subjectA_Stool_165_Stool156.1259999,subjectA_Stool_166_Stool157.1260339,subjectA_Stool_167_Stool158.1259772,subjectA_Stool_168_Stool159.1260022,subjectA_Stool_169_Stool160.1260432,subjectA_Stool_170_Stool161.1260316,subjectA_Stool_171_Stool162.1259731,subjectA_Stool_172_Stool163.1260190,subjectA_Stool_173_Stool164.1259912,subjectA_Stool_174_Stool165.1259678,subjectA_Stool_175_Stool166.1259775,subjectA_Stool_176_Stool167.1259985,subjectA_Stool_177_Stool168.1260054,subjectA_Stool_178_Stool169.1259844,subjectA_Stool_179_Stool170.1259778,subjectA_Stool_180_Stool171.1259969,subjectA_Stool_181_Stool172.1259847,subjectA_Stool_182_Stool173.1260284,subjectA_Stool_183_Stool174.1259784,subjectA_Stool_184_Stool175.1259662,subjectA_Stool_185_Stool176.1260093,subjectA_Stool_186_Stool177.1260062,subjectA_Stool_187_Stool178.1260251,subjectA_Stool_189_Stool179.1260286,subjectA_Stool_190_Stool180.1260282,subjectA_Stool_191_Stool181.1260233,subjectA_Stool_192_Stool182.1259971,subjectA_Stool_193_Stool183.1260030,subjectA_Stool_194_Stool184.1259685,subjectA_Stool_195_Stool185.1259865,subjectA_Stool_196_Stool186.1260035,subjectA_Stool_197_Stool187.1259792,subjectA_Stool_198_Stool188.1260218,subjectA_Stool_199_Stool284.1259937,subjectA_Stool_200_Stool285.1260369,subjectA_Stool_201_Stool286.1259782,subjectA_Stool_202_Stool287.1260141,subjectA_Stool_203_Stool288.1260107,subjectA_Stool_204_Stool289.1260216,subjectA_Stool_205_Stool290.1260033,subjectA_Stool_206_Stool291.1259717,subjectA_Stool_207_Stool292.1259651,subjectA_Stool_209_Stool293.1259977,subjectA_Stool_210_Stool294.1259786,subjectA_Stool_211_Stool295.1260076,subjectA_Stool_212_Stool296.1259707,subjectA_Stool_213_Stool297.1260379,subjectA_Stool_214_Stool298.1260003,subjectA_Stool_215_Stool299.1260364,subjectA_Stool_216_Stool300.1260102,subjectA_Stool_217_Stool301.1259736,subjectA_Stool_218_Stool302.1260117,subjectA_Stool_219_Stool303.1259879,subjectA_Stool_220_Stool304.1260385,subjectA_Stool_221_Stool305.1259972,subjectA_Stool_222_Stool306.1260148,subjectA_Stool_223_Stool307.1260246,subjectA_Stool_224_Stool308.1260289,subjectA_Stool_225_Stool309.1260303,subjectA_Stool_226_Stool310.1259911,subjectA_Stool_227_Stool311.1260191,subjectA_Stool_228_Stool312.1259996,subjectA_Stool_232_Stool313.1259787,subjectA_Stool_233_Stool314.1260425,subjectA_Stool_234_Stool315.1259733,subjectA_Stool_235_Stool316.1259956,subjectA_Stool_236_Stool317.1260329,subjectA_Stool_237_Stool318.1260147,subjectA_Stool_238_Stool319.1259804,subjectA_Stool_239_Stool320.1260018,subjectA_Stool_240_Stool321.1259626,subjectA_Stool_241_Stool322.1260111,subjectA_Stool_242_Stool323.1260163,subjectA_Stool_243_Stool324.1260409,subjectA_Stool_244_Stool325.1259628,subjectA_Stool_245_Stool326.1260401,subjectA_Stool_246_Stool327.1259832,subjectA_Stool_247_Stool328.1260064,subjectA_Stool_248_Stool329.1260227,subjectA_Stool_249_Stool330.1259785,subjectA_Stool_250_Stool331.1259910,subjectA_Stool_251_Stool332.1260124,subjectA_Stool_252_Stool333.1259794,subjectA_Stool_253_Stool334.1259891,subjectA_Stool_254_Stool335.1260144,subjectA_Stool_255_Stool336.1260127,subjectA_Stool_256_Stool337.1259774,subjectA_Stool_257_Stool338.1259743,subjectA_Stool_259_Stool339.1259990,subjectA_Stool_260_Stool340.1260381,subjectA_Stool_261_Stool341.1260368,subjectA_Stool_262_Stool342.1260004,subjectA_Stool_263_Stool343.1259705,subjectA_Stool_264_Stool344.1260230,subjectA_Stool_265_Stool345.1259808,subjectA_Stool_266_Stool346.1260255,subjectA_Stool_267_Stool348.1259739,subjectA_Stool_268_Stool349.1259798,subjectA_Stool_269_Stool347.1260313,subjectA_Stool_271_Stool350.1259974,subjectA_Stool_272_Stool351.1259959,subjectA_Stool_273_Stool352.1260145,subjectA_Stool_274_Stool353.1260283,subjectA_Stool_275_Stool354.1260074,subjectA_Stool_276_Stool355.1259980,subjectA_Stool_277_Stool356.1259858,subjectA_Stool_277_Stool357.1260198,subjectA_Stool_279_Stool358.1259850,subjectA_Stool_280_Stool359.1259683,subjectA_Stool_281_Stool360.1259952,subjectA_Stool_282_Stool361.1259825,subjectA_Stool_283_Stool362.1259698,subjectA_Stool_284_Stool363.1260109,subjectA_Stool_285_Stool364.1260185,subjectA_Stool_286_Stool365.1259702,subjectA_Stool_287_Stool366.1259900,subjectA_Stool_288_Stool367.1260235,subjectA_Stool_289_Stool368.1260060,subjectA_Stool_290_Stool369.1260146,subjectA_Stool_291_Stool370.1259899,subjectA_Stool_292_Stool371.1260299,subjectA_Stool_293_Stool372.1259688,subjectA_Stool_295_Stool373.1259958,subjectA_Stool_296_Stool374.1259690,subjectA_Stool_297_Stool375.1259723,subjectA_Stool_298_Stool376.1260422,subjectA_Stool_299_Stool377.1259807,subjectA_Stool_300_Stool378.1259878,subjectA_Stool_301_Stool189.1260208,subjectA_Stool_302_Stool190.1260386,subjectA_Stool_303_Stool191.1259714,subjectA_Stool_304_Stool192.1259618,subjectA_Stool_305_Stool193.1259634,subjectA_Stool_306_Stool194.1260206,subjectA_Stool_307_Stool195.1260173,subjectA_Stool_308_Stool196.1259770,subjectA_Stool_309_Stool197.1260427,subjectA_Stool_310_Stool198.1260027,subjectA_Stool_311_Stool199.1259703,subjectA_Stool_312_Stool200.1260134,subjectA_Stool_313_Stool201.1260063,subjectA_Stool_314_Stool202.1259658,subjectA_Stool_315_Stool203.1260171,subjectA_Stool_316_Stool204.1260002,subjectA_Stool_317_Stool205.1260083,subjectA_Stool_318_Stool206.1259917,subjectA_Stool_322_Stool207.1259813,subjectA_Stool_323_Stool208.1260236,subjectA_Stool_324_Stool209.1260264,subjectA_Stool_325_Stool210.1259864,subjectA_Stool_326_Stool211.1260059,subjectA_Stool_327_Stool212.1260126,subjectA_Stool_328_Stool213.1260347,subjectA_Stool_329_Stool214.1260158,subjectA_Stool_330_Stool215.1260335,subjectA_Stool_331_Stool216.1259664,subjectA_Stool_332_Stool217.1260272,subjectA_Stool_333_Stool218.1260413,subjectA_Stool_334_Stool219.1260079,subjectA_Stool_335_Stool220.1259762,subjectA_Stool_336_Stool221.1260317,subjectA_Stool_337_Stool222.1259964,subjectA_Stool_338_Stool223.1260241,subjectA_Stool_339_Stool224.1259961,subjectA_Stool_340_Stool225.1260037,subjectA_Stool_341_Stool226.1260151,subjectA_Stool_342_Stool227.1259995,subjectA_Stool_343_Stool228.1259633,subjectA_Stool_344_Stool229.1259830,subjectA_Stool_345_Stool230.1260053,subjectA_Stool_346_Stool231.1260258,subjectA_Stool_347_Stool232.1260125,subjectA_Stool_348_Stool233.1259935,subjectA_Stool_349_Stool234.1259801,subjectA_Stool_350_Stool235.1260156,subjectA_Stool_351_Stool236.1260375,subjectA_Stool_352_Stool237.1260097,subjectA_Stool_353_Stool238.1260172,subjectA_Stool_354_Stool239.1259789,subjectA_Stool_355_Stool240.1260240,subjectA_Stool_356_Stool241.1259962,subjectA_Stool_357_Stool242.1259643,subjectA_Stool_358_Stool243.1260373,subjectA_Stool_359_Stool244.1260129,subjectA_Stool_360_Stool245.1259790,subjectA_Stool_361_Stool246.1260342,subjectA_Stool_364_Stool247.1259852
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii,21930,25241,23781,26420,29059,41890,26147,80538,25472,30767,32362,30977,27085.5,23194,48670,24197,40545,33938,28821,26840,2962,33945,11838,32422,63449,59370,36944,77323,51404,82916,58441,39994,59510,71932,78880,51927,24974,33618,65492,35938,16439,9547,15154,44854,49516,44119,85449,49764,53890,49127,51146,49877,75886,59668,38254,52078,67693,85491,61539,48620,67233,39696,56368.5,73041,26306,21492,30092,31092,12212,35607,70827,41490,31337,13905,2041,3258,41183,5550,3880,6,3470,8704,2375,9620.5,16866,31494,1240,4531,38,35,2271,4507,7151,16283,14553,21814,19480,21920,31725,24248,19319,3416,41934,6570,13,275,26,18,5,19,43,162,3782,2943,11662,9220,19308,32714,28916.5,25119,48033,31426,23304,20532,11852,23258,21230,28387,59978,54429,37726,77874,16857,18333,30021,16411,34012.5,51614,29475,71775,88002,90948,49794,87878,118819,107963.5,97108,153899,48193,31719,41600,16991,27967,45805,49070,104734,69622,24484,72413,43709,70980,72894,57549,20021,35352,45705,54815,70040,41583,42012,52056,104465,39810,37113,52005,47437,22308,64080,44816,52683,32139,35652,32477,33516,75283,38216,24702,6828,4176,7877,22029,14657,6182,3276,3349,13126,9365,10231,11953,15325,14711,14479,22837,18191,13545,14060,19935,16371,28142,12688,13434,24592,29919,28947,14004,15682,29260,51265,13378,9602,23902,22428,8019,7912,13122,14591,16622,4597,4537,1399,2860,2943,2442,1033,3520,13856,8893,46757,32544,26288,14694,31223,7673,104,611,1743,473,5820,740,4355,720,6792,3861,10756,7921,4159,9756,3486,10462,12255,11399,12265,17930,16641,15781,10855,23550,20419,24616,20325,23934,31046,26585,30381,54140,1239,890,4569,5539,4472,7209,12689,18261,17862,30807,28125,51546,51569,35094,35248,35402,61248,8365,18674,26582,54294,30342,24391,13471,29081,53289,63247,64219,79669,79688,102677,46148,35540,29452,15098,17520.5,19943,22561,46498,21388,30224,46796,45972,46300,50135,21008,45597,32221,43302,32367,50630,25253,24486,61272,41122,14431,33857,25546,49404,51531,34305,71134,55891,7367,9843,24544
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__,2985,7621,5683,4944.5,4206,8625,5158,17888,18451,14311,18362,11364,7790.5,4217,22452,6877,12801,8150,7696,9964,3777,12882,2238,17698,10955,21856,4318,27073,8400,16847,34023,51933,13406,23979,18988,11795,4602,9765,31618,18558,7309,3709,13868,8825,22443,15134,23258,22593,29991,14568,20837,23947,19964,13161,10339,41593,49426,20826,20854,20200,10053,4679,9603,14527,5983,9979,9153,4371,638,9871,21980,3256,1428,175,375,1305,5923,537,2327,43,655,11906,6061,7167,8273,4388,933,1068,6033,7285,11519.5,15754,5117,3447,3709,4069,6417,4077,3469,5155,4319,65,5677,960,28,498,3576,1135,407,504,5134,2967,1116,3264,3148,8318,2056,6701,5532.5,4364,4024,12004,11776,13592,1303,2241,15119,6362,12187,10396,12210,13626,4441,11408,9229,4963,4163,3363,2538,8880,19412,26484,27966,7789,10501,11509,12517,19403,13276,6248,11086,10748,18932,9199,1918,11911,4113,3511,9127,10439,10975,19822,8548,1650,3017,4781,13337,32524,23749,6659,14338,14521,8556,3492,11548,6354,2120,14242,17000,14566,14497,14168,6951,7146,9517,20668,14053,5801,2654,2348,1018,2115,610,998,686,3255,2046,2509,2562,3769,5954,4720,1547,2254,2961,4815,3266,1875,6121,10171,5116,7656,10558,9704,5058,3566,19787,11100,5271,1467,2244,2609,3305,2081,6712,2510,3624,818,928,182,630,858,1030,413,913,5665,11434,1358,2524,1233,1673,7879,2829,14,49,131,35,270,184,61,48,1301,166,2312,4051,1274,2604,783,1679,3194,3347,954,4264,3173,3250,2495,5515,2165,3016,4072,3351,4270,3556,7412,14202,629,276,1638,1229,695,1726,1292,3486,5416,7999,6805,9784,17904,10251,8262.5,6274,17697,14554,2895,9457,12748,9329,31247,9990,17431,15333,21594,21438,5279,7935,20272,22521,11468,5076,4891,15925,26959,16317,11447,6816,21586,17067,23403,9819,11974,11726,25766,15298,13225,8370,13010,11990,33275,41904,14314,9286,9103,6633,6984,16441,12255,35832,28936,7294,11650,18689
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Gemmiger;s__formicilis,2138,5112,5354,5064.5,4775,11175,10019,10544,1969,6565,9077,6420,5684,4948,11027,4372,4629,7684,7900,12786,1183,8432,1911,8895,13627,14166,8700,14224,17246,16075,12897,17562,12781,14186,13046,9989.5,6933,5499,4962,5338,2595,3303,9374,12096,7504,4679,13613,11129,7802,10373,8870,9990,14059,11333,6615,13560,19012,22443,14915,16995,20620,15054,11895.5,8737,8704,12465,3832,8275,2481,2490,5338,3966,1915,75,270,412,2089,347,766,2,681,3369,3215,2417,1619,2459,3222,1796,2,4,10.5,17,1,30,35,113,248,394,483,1296,422,41,1804,526,6,35,12,2,1,4,112,181,2125,1007,2113,1723,1070,5016,4867,4718,10051,8479,6355,3933,1005,849,4070,1385,3085,1967,1743,5119,2138,2233,3322,2404,2781,3158,3425,7885,21059,13139,11534,4374,12521,11525,10529,14681,6783,3566,5194,2912,8995,3711,1025,2681,2472,3007,4247,2142,5468,11311,12158,3573,8171,5358,16301,12148,6233,5361,6147,9738,5424,1567,6514,10536,2279,15451,7132,9496,9062,4506,13658,9786,11211,4713,8132,1835,1136,1803,1441,1567,1141,1053,1369,1076,1304,1623,944,1626,1711,2171,2838,3199,3560,2352,3039,3918,3696,2356,1982,2841,5448,4765,2422,1254,2532,3801,1760,668,1209,967,671,2207,1470,535,682,427,456,148,566,531,342,103,884,1511,4914,1945,3789,4167,7213,6775,880,21,50,66,7,100,24,189,43,228,148,392,919,156,532,974,1118,1658,1558,919,2009,1236,1759,1581,3149,2433,3740,3662,2242,2453,3870,3705,3819,180,150,1282,987,1643,794,1659,1622,2256,7172,7554,7458,6361,13209,8663,4117,10391,7846,2433,4604,9109,16001,26385,2502,2945,5014,5636,12820,2544,6147,5226,1959,3361,3920,3161,2419.5,1678,4713,8252,3207,7912,4066,4289,6510,18094,16224,12353,10964,10818,9445,11483,11791,16460,20303,5635,2709,4465,5298,15628,34320,13964,10486,22699,878,3233,7489
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis,4169,4098,3184,3351,3518,5451,11796,5769,1157,5084,853,5850,8346,10842,9771,5377,4324,14383,5127,4526,70,4198,1298,2635,7682,25213,10389,41,5179,1252,8292,2032,4883,7215,12498,7647,2796,6865,6464,5170,2811,1479,1761,5574,107,52,2034,532,285,2448,2306,2868,2310,723,6786,8861,6332,4393,9433,4959,7971,6285,7313,8341,4544,2767,5884,4819,2669,2231,1188,3563,1316,13392,384,1028,253,586,63,432,280,190,2613,1320.5,28,8220,1537,1791,1475,2475,1884,1293,1918,3060,3135,2252,4682,13365,13859,2074,5361,238,12088,1818,917,1209,5361,4577,1182,148,897,2303,4417,4566,11020,5980,2504,21037,21253.5,21470,4139,8788,6863,18314,10560,14677,9119,12781,14613,2902,18771,34766,4163,11844,3283,4753,12695.5,20638,15320,33045,38458,9244,25499,22316,40070,44481.5,48893,45706,16208,24373,25672,1080,6796,30475,28905,30526,15671,14349,30266,11724,18314,27839,15698,30915,12635,822,15258,16408,8760,11686,6834,18968,2813,5340,10690,10801,4473,12054,8800,5446,332,2821,1375,2497,6894,10,656,63,750,656,152,2594,5726,4366,9976,1122,944,2025,1362,2008,1716,3159,4434,2547,660,856,2872,1221,1639,1696,3647,443,943,5007,5537,9884,985,2518,1763,7,38,593,965,1471,2612,4654,1021,1470,981,572,1870,514,1476,684,2387,113,2448,4256,1012,11877,2665,1130,4374,83,591,1273,171,1458,284,2267,3067,1471,1685,201,6,19,201,1166,931,2232,1017,3548,684,2271,339,817,1425,3019,867,1702,2156,1857,2154,4318,4096,1,218,573,3306,3459,338,1445,2182,2325,7163,685,3206,528,674,3202,5730,3919,564,7423,4499,5495,10829,9146,7570,5217,60,342,2509,3202,6248,20840,886,2770,1516,859,1128.5,1398,4242,2076,1182,14,1356,2161,5484,4705,1305,6513,8668,5475,11243,6539,3747,2042,2135,291,347,2670,1488,9357,2767,4447,1638,3503,83,159,465
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;__,5526,10166,8321,7467.5,6614,5854,5752,12946,6605,8502,8859,5922,5192.5,4463,9131,6279,6691,8700,7367,7627,1497,9616,3846,10287,13156,21519,5701,8350,5099,14117,22747,26378,10868,17929,8707,8526.5,8346,14251,19133,15429,4387,872,4893,11633,15261,17004,21574,19633,17884,12541,12420,12784,15800,12490,4742,9152,28492,11108,14432,13585,9447,12671,9178,5685,7246,5123,7988,8332,4849,5488,9625,3504,1754,3174,619,836,11050,1006,1113,0,558,1154,557,4625,8693,4059,157,126,33,83,264,445,307,828,396,316,65,198,112,690,743,212,6644,71,0,6,2,3,2,1,1,24,1418,232,1898,1297,1698,5498,5850,6202,9519,11812,15621,18603,4332,2901,6223,2127,6143,2870,3579,8965,2604,2689,3890,2203,2574,2945,2574,6225,8580,7162,19615,7616,6395,14898,23401,24805,7087,8109,13775,8172,8032,7188,7247,4113,3576,4342,2187,2479,5329,11424,14921,5070,6125,7453,8277,13034,9226,17889,6258,9520,9006,4664,9492,6877,3225,13583,13406,16570,13809,8275,14719,10367,17138,18353,14562,1864,851,1145,1963,2263,1658,1008,2343,1287,372,1511,2169,1424,1324,857,690,965,1240,1608,2196,1589,1580,5005,1707,3132,4821,3207,2624,2729,5184,4683,4001,911,1523,1472,1113,1175,1764,1677,1067,290,306,108,492,582,1651,177,471,1948,4762,1938,1601,1168,651,1870,1190,35,302,824,28,328,36,613,3160,802,1303,1416,1752,2555,1235,1784,2377,2099,2279,2274,3041,1250,2942,2472,4920,4130,5983,4901,3322,4663,3358,4298,4220,373,221,1953,2708,1140,1754,2967,4885,5595,7225,8585,12197,17045,18841,15418,11995,29626,12396,7838,20576,19624,21223,41214,14350,12919,20974,33169,13343,7141,13226,15256,6111,8242,6100,4457,8318,12179,6880,4823,2960,7306,10797,12229,9552,21551,3595,10603,10553,12011,9805,17485,10422,12205,9061,11606,4934,5027,3384,11017,10993,11917,17975,25492,4441,2804,8873
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;__;__,86,49,29,29,29,103,11,104,33,118,8,8,77.5,147,26,7,10,79,1890,119,1,9,1,14,36,69,176,25,105,203,2535,271,87,26,90,63.5,37,231,29,390,71,29,204,144,37,36,108,111,787,104,48,20,902,895,585,1534,119,221,371,19731,7064,58,304.5,551,152,42,16,612,782,363,7850,14528,17933,6,813,975,17127,2489,7997,2274,15834,48048,55468,30315.5,5163,40,52809,20890,19809,24801,23257.5,21714,24568,34578,8426,12632,10030,10313,28935,23476,18420,23001,486,39113,109859,42479,26820,71762,4031,4030,13567,1574,3636,22159,3617,19933,30640,30202,17009,3816,7411,3635,2106,1939,2973,1881,1963,348,139,94,11,40,23,32,85,37,430.5,824,152,58,1181,7403,7206,275,225,259,293,641,54,160,168,45,42,510,5108,1386,222,250,8733,5040,1581,202,112,122,60,104,77,86,44,30,36,65,30,45,768,422,526,703,1398,323,1101,124,1335,781,257,275,66,21,6,11,87,119,21,11,6,32,9,52,26,7,13,3,52,53.5,55,8,15,11,16,64,57,110,215,1398,1558,460,1065,8715,19778,172,139,51,52,75,16,111,220,171,19,2,291,14,14,4,54,649,466,410,303,115,50,66,2900,47,281,580,2,35,85,991,700,405,92,1482,66,3,81,120,395,1467,1492,1604,2769,341,34,39,38,13,16,11,20,9,155,15,437,31,14,44,103,45,34,322,125,26,52,110,184,851,2333,1471,609,1520,2007,363,541,169,234,371,377,418,640,1626,834,472,399,266,60,26,13,324,488.5,653,101,35,76,107,24,104,29,17,14,54,14,104,84,239,157,142,83,28,3,38,2,10,66,330,202,346,22,1209,563
k__Bacteria;__;__;__;__;__;__,953,1870,1914,1916,1918,3698,8205,4475,526,3442,3709,920,699,478,3526,1156,1543,2469,1718,2880,310,1750,237,2877,7890,2397,884,565,6655,1116,9807,18144,2645,2831,2248,1538.5,829,8102,3412,7155,1124,1152,4424,3464,1964,411,2948,1433,4320,12315,9540,7947,12447,1569,3632,5147,18010,5210,1498,5059,4625,1629,2818,4007,628,202,194,2001,1552,304,5214,563,1049,548,256,295,544,351,206,0,87,756,327,279.5,232,1890,95,204,24,66,787.5,1509,266,4462,553,802,566,797,1235,465,408,7,1563,39,1,4,0,0,0,0,0,2,0,8,3,3,1,99,50.5,2,9,5,6,1,1029,1289,939,3579,1710,1989,1289,8166,1161,1437,2126,1002,1515,2028,1037,1120,3964,3443,7826,1675,3247,2528,1809,5904,4078,1269,3049,3158,1166,1118,1515,3067,1296,2785,831,760,1285,1421,1863,538,894,411,1981,1023,1297,925,775,1653,1282,831,635,424,308,2299,1348,1152,110,2377,12262,4975,4932,419,3154,435,363,635,210,559,310,188,261,800,381,569,236,944,595,400,878,740,602,375,173,213,394,125,395,374,3361,175,82,314,483,2431,1196,610,401,267,156,1189,290,702,98,137,118,58,147,146,269,39,82,357,4050,876,763,842,654,1500,524,7,186,132,14,100,27,114,255,428,790,330,264,81,130,425,304,399,792,283,583,313,158,514,693,460,511,1499,492,507,441,902,916,7,79,213,189,265,139,176,845,688,1022,126,3928,3942,2297,1857.5,1418,3435,2474,1208,3074,1692,7290,7904,2697,391,1312,1356,1700,896,1219,4877,886,898,928,207,473.5,740,2600,1995,2005,3293,1035,1047,2473,1663,3741,7161,4550,3904,2760,2850,1620,5348,5118,4034,3164,2652,2201,2058,8953,3011,2738,10070,148,355,2216
